Id,Centred Broto-Moreau autocorrelation of lag 7 weighted by mass,eta average core count,Geary autocorrelation of lag 1 weighted by polarizability,molecular multiple path count of order 9,path/walk 3 - Randic shape index,largest eigenvalue n. 1 of Burden matrix weighted by mass,largest eigenvalue n. 1 of Burden matrix weighted by polarizability,largest eigenvalue n. 2 of Burden matrix weighted by mass,Wiener-like index from detour matrix (detour index),valence connectivity index of order 4,AntagonistClass
e2741,12.498,0.462,1.784,1.386,0.24,3.627,3.567,3.476,324,0.847,inactive
e2742,5.801,0.47,1.2,2.784,0.294,3.828,3.817,3.446,264,0.769,inactive
e2743,0,0.439,1.463,0,0.277,3.683,3.515,2.78,54,0.415,inactive
e2744,15.833,0.478,1.033,5.719,0.333,3.925,3.891,3.729,834,1.65,inactive
e2745,16.747,0.48,1.606,2.398,0.233,3.726,3.712,3.639,832,2.003,inactive
e2746,0,0.849,0.505,0,0,6.885,3.248,3.506,4,0,inactive
e2747,0,0.483,1.945,0,0.267,3.579,3.538,2.986,29,0,inactive
e2748,0,0.439,1.914,0,0.281,3.54,3.315,2.972,31,0.125,inactive
e2749,0,0.5,1.5,0,0.18,3.716,3.751,3.257,66,0.866,inactive
e2753,5.907,0.501,0.776,4.64,0.326,4.121,3.982,3.662,385,1.282,inactive
e2754,0.615,0.473,0.862,0,0.322,3.853,3.857,3.36,205,0.71,inactive
e2756,0,0.471,0.531,0,0.328,4.049,3.865,3.627,262,0.841,inactive
e2757,2.957,0.458,1.594,0,0.288,3.646,3.565,3.232,70,0.254,inactive
e2758,10.652,0.519,1.344,1.099,0.231,3.797,3.691,3.592,220,1.417,inactive
e2759,0,0.444,1.645,0,0.202,3.529,3.371,3.108,32,0.117,inactive
e2761,10.909,0.458,1.815,1.099,0.239,3.619,3.541,3.435,252,0.745,inactive
e2764,0,0.392,2.19,0,0,3.699,3.263,2.326,9,0,inactive
e2766,0,0.554,0.925,0,0.167,3.782,3.468,3.02,10,0,inactive
e2768,5.452,0.471,0.949,5.364,0.323,3.895,3.869,3.808,896,1.351,inactive
e2770,3.394,0.467,0.979,0,0.273,3.865,3.858,3.407,262,0.779,inactive
e2774,2.448,0.5,0.868,6.29,0.325,4.03,4.045,3.42,424,1.309,inactive
e2775,0,0.552,0.915,0,0.2,3.832,3.207,3.587,20,0.262,inactive
e2776,0,0.476,1.187,0,0.2,3.825,3.153,2.92,18,0,inactive
e2777,0,0.475,1.115,0,0.262,3.66,3.644,3.307,76,0.263,inactive
e2778,0,0.446,1.532,0,0.362,3.661,3.623,2.983,64,0.274,inactive
e2781,0,0.619,0.566,0,0.274,6.88,3.847,3.695,90,0.72,inactive
e2782,0,0.5,0.478,0,0.347,4.15,3.875,3.625,264,0.998,inactive
e2783,1.796,0.441,0.898,4.523,0.343,3.989,3.902,3.465,402,1.074,inactive
e2784,0,0.489,0.92,0,0.307,3.868,3.875,3.198,164,0.715,inactive
e2787,3.682,0.454,0.961,5.124,0.384,3.981,3.922,3.409,571,1.368,inactive
e2789,24.201,0.477,1.515,3.219,0.261,3.718,3.744,3.623,1651,2.46,inactive
e2790,3.813,0.446,1.339,0,0.402,3.871,3.763,3.303,378,1.423,inactive
e2791,2.674,0.485,1.252,0,0.383,4.02,4.029,3.353,263,2.607,inactive
e2792,4.003,0.47,1.752,0,0.279,3.661,3.604,3.338,102,0.552,inactive
e2795,0,0.486,1.873,0,0.321,3.593,3.541,3.04,48,0.671,inactive
e2796,0,0.567,1.242,0,0,3.829,3.629,2.845,16,0,inactive
e2797,2.232,0.48,0.726,0,0.332,4.055,3.888,3.633,258,0.87,inactive
e2801,0,0.471,0.914,0,0.274,3.79,3.733,2.889,90,0.376,inactive
e2803,4.478,0.463,1.719,0,0.249,3.629,3.615,3.375,104,0.377,inactive
e2805,0,0.395,1.008,0,0.19,3.745,3.272,3.216,48,0.098,inactive
e2807,2.566,0.438,1.757,0,0.288,3.607,3.457,3.204,70,0.263,inactive
e2808,0,0.472,1.596,0,0.202,3.589,3.603,3.073,32,0.192,inactive
e2813,0,0.706,0.387,0,0.267,7.078,3.498,6.652,29,0,inactive
e2814,1.758,0.48,0.702,0,0.271,4.212,3.833,3.441,189,1.122,inactive
e2815,1.404,0.454,1.347,0,0.313,4.723,4.037,3.868,384,1.278,inactive
e2818,0,0.365,1.915,0,0.2,3.573,3.255,2.626,28,0,inactive
e2821,0,0.591,0.882,0,0.214,3.946,3.565,3.566,35,0.924,inactive
e2822,0,0.81,0.432,0,0.286,7.252,3.606,6.652,42,0,inactive
e2823,27.643,0.42,1.471,3.611,0.373,3.802,3.682,3.673,1672,2.06,inactive
e2824,1.405,0.444,0.829,4.239,0.331,3.903,3.874,3.253,332,0.856,inactive
e2826,0,0.47,0.958,0,0.333,3.862,3.852,3.058,166,0.666,inactive
e2827,0,0.462,1.849,0,0.321,3.595,3.496,3.04,48,0.373,inactive
e2828,0,0.467,1.159,0,0.25,3.782,3.682,2.3,35,0.227,inactive
e2830,0,0.422,1.216,0,0.289,3.766,3.559,3.065,162,0.519,inactive
e2831,25.385,0.497,1.124,4.583,0.306,4.088,3.851,3.688,1416,2.343,inactive
e2835,1.169,0.445,0.894,0,0.328,3.961,3.87,3.475,262,0.78,inactive
e2836,0.479,0.458,1.539,0,0.288,3.654,3.637,3.22,70,0.556,inactive
e2837,11.773,0.411,1.349,0,0.362,3.735,3.629,3.493,378,0.87,inactive
e2838,0,0.517,0.379,0,0.346,4.193,3.889,3.741,319,1.262,inactive
e2839,0,0.438,1.606,0,0.267,3.591,3.438,3.1,50,0.137,inactive
e2840,0,0.589,0.476,0,0.315,4.307,3.898,3.979,312,1.909,inactive
e2841,0,0.417,2.322,0,0.25,3.532,3.27,2.674,63,0.279,inactive
e2842,5.849,0.433,1.174,3.944,0.302,3.908,3.779,3.523,446,0.828,inactive
e2843,0,0.482,0.661,0,0.315,4.104,3.877,3.622,312,1.235,inactive
e2845,0,0.574,0.595,0,0.307,6.88,3.876,3.767,164,0.997,inactive
e2846,3.195,0.519,0.967,0,0.336,3.939,3.901,3.671,246,1.121,inactive
e2847,0,0.407,1.203,0,0.2,3.471,3.147,2.691,18,0,inactive
e2848,6.432,0.5,0.712,2.303,0.217,4.159,3.624,3.528,268,2.335,inactive
e2849,2.103,0.526,0.776,0,0.333,4.079,3.847,3.634,211,0.99,inactive
e2850,3.628,0.446,0.698,7.146,0.35,4.121,4.061,3.733,990,1.595,inactive
e2851,0,0.436,0.997,0,0.298,3.872,3.844,3.322,198,0.627,inactive
e2852,0,0.438,2.308,0,0.362,3.573,3.369,2.912,64,0.25,inactive
e2853,0.514,0.476,1.314,0,0.317,4.723,4.031,3.7,256,1.332,inactive
e2855,7.107,0.488,0.981,5.768,0.3,3.895,3.878,3.749,600,1.303,inactive
e2858,1.253,0.431,1.522,0,0.403,3.846,3.636,3.258,388,1.001,inactive
e2859,0,0.604,0.638,0,0.288,6.88,3.877,3.747,122,0.798,inactive
e2860,0,0.444,1.878,0,0.25,3.589,3.462,2.866,63,0.44,inactive
e2861,6.723,0.5,0.674,5.901,0.306,4.077,3.919,3.756,692,1.981,antagonist
e2862,0.277,0.456,0.853,3.992,0.32,3.963,3.886,3.467,341,0.924,inactive
e2863,0,0.458,1.054,0,0.167,3.402,3.379,2.552,10,0,inactive
e2864,7.389,0.579,1.152,0,0.267,4.875,4.08,3.225,96,2.255,inactive
e2865,4.301,0.433,0.798,4.925,0.343,3.945,3.901,3.356,570,1.139,inactive
e2866,1.916,0.519,0.678,6.29,0.325,4.095,4.04,3.647,424,1.341,inactive
e2870,4.712,0.449,1.085,0,0.333,3.898,3.872,3.421,382,0.867,inactive
e2871,0,0.45,0.723,0,0.332,3.67,3.546,3.176,68,0.134,inactive
e2874,1.072,0.467,1.862,0,0.2,4.708,3.907,3.319,71,0.693,inactive
e2877,0,0.48,0.787,4.239,0.344,3.887,3.876,3.148,217,0.678,inactive
e2878,0,0.444,1.645,0,0.281,3.561,3.442,2.961,31,0.083,inactive
e2879,7.381,0.455,1.629,0,0.308,3.699,3.598,3.477,168,0.335,inactive
e2880,3.8,0.473,1.133,2.151,0.314,3.848,3.822,3.266,217,0.767,inactive
e2881,3.502,0.488,1.578,0,0.223,3.6,3.644,3.332,84,0.748,inactive
e2882,0,0.461,0.806,4.808,0.359,3.965,3.915,3.325,389,1.117,inactive
e2884,6.66,0.489,0.932,0,0.324,4.005,3.861,3.479,260,0.924,inactive
e2886,0,0.5,1.188,0,0.25,3.72,3.758,3.208,160,0.856,inactive
e2887,6.897,0.449,1.224,0,0.333,4.724,4.038,3.8,544,1.628,inactive
e2889,0.539,0.436,0.802,4.523,0.331,3.968,3.872,3.463,332,0.814,inactive
e2890,8.209,0.467,1.306,0,0.186,3.713,3.689,3.384,127,0.306,inactive
e2891,1.591,0.489,0.992,0,0.322,3.877,3.882,3.128,162,0.76,inactive
e2892,0,0.467,1.627,0,0.25,3.629,3.596,2.583,35,0.51,inactive
e2894,4.091,0.444,1.673,0,0.288,3.637,3.494,3.354,100,0.271,inactive
e2897,0,0.48,1.244,0,0.202,3.831,3.32,3.205,32,0.223,inactive
e2899,5.394,0.481,1.754,0,0.226,3.576,3.572,3.405,120,0.595,inactive
e4983,14.37,0.488,1.546,3.497,0.27,3.943,3.801,3.622,729,2.128,antagonist
e2903,21.719,0.463,1.449,4.457,0.32,3.931,3.867,3.415,892,1.628,inactive
e2904,16.604,0.49,1.534,2.398,0.233,3.749,3.743,3.64,832,2.38,inactive
e2905,2.609,0.464,1.274,0,0.323,4.722,4.029,3.739,309,1.209,inactive
e2906,0,0.622,1,0,0.378,4.406,3.888,3.506,56,0.804,inactive
e2908,13.459,0.491,1.574,5.211,0.294,4.428,3.91,3.817,1208,2.197,inactive
e2909,10.514,0.436,1.729,0.693,0.293,3.69,3.541,3.425,286,0.7,inactive
e2910,3.213,0.458,1.755,0,0.212,3.575,3.535,3.336,79,0.36,inactive
e2911,0,0.483,1.285,0,0.267,3.812,3.398,3.312,50,0.277,inactive
e2913,19.741,0.441,0.951,6.287,0.329,3.912,3.881,3.872,4901,2.429,inactive
e2915,0,0.59,0.533,0,0.2,4.255,3.446,2.951,28,0,inactive
e2916,0,0.479,1.212,0,0.301,3.763,3.783,3.188,124,0.941,inactive
e2918,35.048,0.491,1.29,3.446,0.333,3.981,3.985,3.541,956,2.32,inactive
e2920,0.497,0.5,1.063,0,0.301,3.835,3.859,3.179,124,0.714,inactive
e2921,3.55,0.461,1.726,0,0.29,3.713,3.663,3.278,162,1.024,inactive
e2922,11.809,0.486,1.696,1.792,0.213,4.708,3.923,3.587,261,1.634,inactive
e2923,3.263,0.441,0.898,0,0.333,3.98,3.899,3.523,390,0.939,inactive
e2925,0,0.458,1.66,0,0.167,3.451,3.422,2.703,10,0,inactive
e2928,0,0.417,1.851,0,0.277,3.63,3.398,2.779,54,0.292,inactive
e2931,1.258,0.481,1.204,0,0.308,3.849,3.847,3.15,162,0.674,inactive
e2932,2.025,0.433,1.079,0,0.326,3.896,3.769,3.241,187,0.578,inactive
e2933,0.403,0.45,0.814,0,0.327,3.869,3.84,3.226,210,0.654,inactive
e2934,0,0.571,0.443,0,0.307,10.695,4.025,3.897,207,1.116,inactive
e2935,7.089,0.455,1.629,0,0.265,3.666,3.567,3.446,184,0.637,inactive
e2936,0,0.5,1.417,0,0.25,3.684,3.734,2.866,63,1.061,inactive
e2938,2.502,0.467,0.95,0,0.307,3.875,3.873,3.292,204,0.696,inactive
e2939,0,0.467,1.698,0,0.2,3.511,3.516,2.862,18,0,inactive
e2940,0,0.468,0.654,0,0.32,4.016,3.877,3.738,323,0.859,inactive
e2941,0,0.444,1.879,0,0.2,4.705,3.866,2.734,28,0,inactive
e2942,2.179,0.486,1.732,0,0.219,3.558,3.562,3.263,56,0.479,inactive
e2943,4.94,0.483,1.331,0,0.222,3.741,3.725,3.435,135,0.611,inactive
e2946,0,0.467,1.796,0,0.301,3.682,3.588,3.155,124,0.917,inactive
e2948,28.568,0.42,1.453,4.29,0.387,3.836,3.704,3.719,1920,2.492,inactive
e2950,0,0.476,1.58,0,0.19,3.64,3.637,3.214,48,0.575,inactive
e2951,0,0.643,0.505,0,0.2,4.286,3.484,3.528,28,0,inactive
e2953,1.491,0.5,1.063,0,0.288,3.853,3.875,3.11,122,0.637,inactive
e2955,3.239,0.463,1.58,0,0.229,3.666,3.587,3.372,94,0.343,inactive
e2957,1.134,0.476,1.58,0,0.267,3.629,3.608,3.194,50,0.456,inactive
e2960,13.557,0.495,1.019,6.637,0.311,3.966,3.978,3.741,1410,2.357,inactive
e2961,0,0.438,1.576,0,0.362,3.662,3.637,2.826,64,0.15,inactive
e2962,0,0.5,1.625,0,0.18,3.692,3.737,3.291,66,1.225,inactive
e2963,1.344,0.526,0.637,0,0.284,3.936,3.832,3.685,166,0.661,inactive
e2965,4.283,0.464,1.227,0,0.289,3.862,3.829,3.436,325,0.878,inactive
e2966,6.739,0.483,1.364,0,0.295,3.831,3.844,3.481,300,2.021,inactive
e2968,0,0.475,1.431,0,0.167,3.459,3.428,2.712,10,0,inactive
e2970,5.544,0.45,1.648,0,0.314,3.706,3.608,3.312,128,0.433,inactive
e2972,0,0.586,0.826,0,0.2,3.87,3.493,3.587,20,0.455,inactive
e2973,0,0.653,0.533,0,0.286,4.353,3.524,3.756,42,0,inactive
e2975,0.308,0.5,1.061,0,0.354,3.924,3.954,3.263,187,2.094,inactive
e2976,6.369,0.474,1.238,3.596,0.268,3.852,3.86,3.536,396,1.067,inactive
e2977,2.663,0.491,0.926,6.29,0.325,4.018,4,3.409,424,1.176,inactive
e2979,0,0.448,1.101,0,0.29,3.833,3.66,2.895,78,0.386,inactive
e2981,0,0.476,1.838,0,0.302,3.63,3.615,2.978,44,0.144,inactive
e2982,0.708,0.5,1.333,0,0.214,3.586,3.627,3.177,35,0.232,inactive
e2984,0,0.486,1.592,0,0.19,3.624,3.651,3.206,48,0.744,inactive
e2987,5.648,0.439,1.419,0,0.213,3.65,3.636,3.469,204,0.729,inactive
e2988,7.386,0.423,1.536,0,0.284,3.779,3.56,3.544,278,0.646,inactive
e2990,0,0.479,1.61,0,0.307,3.691,3.705,3.181,63,0.612,inactive
e2991,0,0.483,1.488,0,0.25,3.661,3.66,2.866,63,0.802,inactive
e2994,0,0.499,0.615,0,0.286,4.167,3.521,3.303,42,0,inactive
e2996,6.332,0.435,0.956,4.541,0.301,3.962,3.876,3.613,655,0.992,inactive
e2997,16.576,0.468,1.112,4.84,0.317,3.879,3.861,3.837,1530,1.71,inactive
e2998,0,0.472,1.904,0,0.2,3.586,3.56,2.858,28,0,inactive
e3001,4.166,0.481,1.754,0,0.288,3.63,3.6,3.361,100,0.589,inactive
e3003,0,0.47,1.219,0,0.346,3.881,3.845,3.259,256,1.408,inactive
e3004,0,0.45,2.118,0,0.167,3.353,3.19,2.793,10,0,inactive
e3005,29.888,0.446,1.243,3.992,0.351,4.063,3.957,3.649,958,1.903,inactive
e3006,0,0.643,1.5,0,0.267,4.265,3.492,3.559,29,0,inactive
e4955,11.288,0.486,1.554,3.434,0.273,3.942,3.799,3.589,498,1.775,antagonist
e3009,1.272,0.446,1.862,0,0.255,3.584,3.497,3.178,75,0.453,inactive
e3011,0,0.529,1.137,0,0.288,3.852,3.556,3.738,100,0.615,inactive
e3012,5.897,0.474,1.02,5.307,0.344,3.966,3.93,3.436,573,1.423,inactive
e3013,0,0.444,1.56,0,0.267,3.594,3.541,2.877,29,0,inactive
e3014,0,0.516,1.423,0,0.209,3.793,3.536,3.421,52,0.496,inactive
e3015,0,0.467,1.698,0,0.2,3.523,3.545,2.731,18,0,inactive
e3016,0.58,0.407,1.208,0,0.266,3.681,3.503,3.261,96,0.213,inactive
e3017,0,0.526,0.609,0,0.332,4.093,3.876,3.601,210,1.05,inactive
e3018,0,0.444,1.492,0,0.267,3.63,3.506,2.934,29,0,inactive
e3019,2.447,0.472,1.047,0,0.32,3.905,3.894,3.45,314,0.94,inactive
e3020,18.208,0.449,1.03,5.533,0.33,3.893,3.862,3.838,2257,1.999,inactive
e3021,1.171,0.45,1.158,3.446,0.335,3.966,3.874,3.477,328,0.943,inactive
e3024,0,0.533,0.914,0,0.345,3.973,3.675,3.622,62,0.309,inactive
e3028,1.049,0.491,0.731,6.29,0.342,4.032,4.037,3.372,426,1.25,inactive
e3031,0,0.472,1.596,0,0.281,3.6,3.602,2.986,31,0.096,inactive
e2706,8.135,0.483,1.565,3.157,0.277,3.942,3.796,3.534,323,1.421,antagonist
e3034,0.746,0.456,1.89,0,0.214,3.498,3.464,3.061,35,0.228,inactive
e3035,0,0.444,1.508,0,0.289,3.737,3.616,2.85,44,0.366,inactive
e3037,0,0.417,0.947,4.523,0.321,3.981,3.874,3.488,396,0.873,inactive
e3039,8.167,0.505,1.26,0,0.297,3.901,3.7,3.469,134,1.192,inactive
e3040,7.894,0.417,1.219,0,0.285,3.792,3.715,3.459,436,1.18,inactive
e3044,1.925,0.438,1.842,0,0.219,3.495,3.394,3.202,56,0.25,inactive
e3045,0,0.708,0.474,0,0.288,6.887,3.879,6.874,122,0.958,inactive
e3049,16.118,0.461,1.457,2.398,0.226,3.682,3.711,3.588,788,1.79,inactive
e3050,13.586,0.452,1.604,0,0.329,3.747,3.688,3.584,326,0.566,inactive
e3052,10.022,0.492,1.481,1.946,0.234,3.66,3.705,3.53,364,1.515,inactive
e3053,5.642,0.467,1.57,0,0.236,3.656,3.616,3.408,142,0.544,inactive
e3057,0,0.47,0.868,4.355,0.349,4.046,3.955,3.266,313,1.01,inactive
e3058,0,0.475,1.603,0,0.323,3.805,3.715,2.866,150,1.519,inactive
e3059,0.381,0.45,0.962,5.078,0.338,3.925,3.869,3.383,515,1.045,inactive
e3061,0,0.475,0.946,0,0.301,3.817,3.761,3.143,124,0.429,inactive
e3064,0.708,0.47,1.081,0,0.333,3.845,3.82,3.064,166,0.666,inactive
e3065,1.255,0.489,1.598,0,0.303,3.75,3.761,3.284,160,1.597,inactive
e3067,4.563,0.5,1.208,0,0.32,3.899,3.921,3.451,314,1.266,inactive
e3068,4.388,0.481,1.435,0,0.204,3.678,3.692,3.429,108,0.564,inactive
e3070,5.535,0.459,1.164,0,0.307,3.885,3.837,3.445,396,1.015,inactive
e3075,14.803,0.452,1.887,1.609,0.286,3.644,3.554,3.49,379,0.768,inactive
e3078,2.623,0.56,0.472,0,0.381,4.286,3.941,3.841,630,2.744,inactive
e3079,0,0.48,0.787,0,0.323,3.882,3.874,3.269,213,0.658,inactive
e3081,15.809,0.49,1.38,0,0.26,3.844,3.695,3.621,237,1.144,inactive
e3082,24.109,0.476,1.499,2.639,0.243,3.705,3.737,3.616,1444,2.668,inactive
e3083,5.034,0.45,1.52,0,0.262,3.74,3.617,3.563,152,0.388,inactive
e3085,0.896,0.47,1.095,0,0.303,3.835,3.777,3.294,160,0.571,inactive
e3087,1.277,0.463,1.08,0,0.322,3.842,3.826,3.303,205,0.691,inactive
e3088,19.728,0.474,1.826,0,0.226,3.585,3.555,3.39,270,0.763,inactive
e3089,9.284,0.512,0.752,4.123,0.326,4.115,3.865,3.646,469,1.11,antagonist
e3092,0,0.667,0.615,0,0.167,4.123,3.447,2.996,10,0,inactive
e3093,0,0.5,1.392,0,0.281,4.747,4.095,3.206,75,1.492,inactive
e3095,11.193,0.487,1.54,0,0.238,3.739,3.75,3.537,288,1.815,inactive
e3099,7.084,0.515,1.131,5.744,0.33,4.731,4.048,4.067,1015,2.757,antagonist
e3100,1.339,0.486,1.402,0,0.219,3.567,3.547,3.303,56,0.287,inactive
e3101,6.716,0.493,0.851,5.614,0.331,3.932,3.943,3.729,652,1.632,inactive
e3102,0,0.472,1.657,0,0.281,3.577,3.604,2.959,31,0.129,inactive
e3103,7.4,0.496,1.006,4.437,0.291,4.088,3.849,3.618,690,1.489,inactive
e3105,0,0.53,0.224,0,0.286,4.309,3.44,3.326,42,0,inactive
e3106,6.592,0.467,1.691,0,0.264,3.662,3.601,3.447,136,0.415,inactive
e3110,1.191,0.467,0.95,0,0.307,3.877,3.874,3.269,207,0.778,inactive
e3112,33.771,0.441,2.141,5.794,0.313,3.888,3.64,3.497,2400,2.161,inactive
e3113,11.704,0.5,1.855,0,0.272,3.996,3.528,3.225,138,1.284,inactive
e3114,0,0.452,1.547,0,0.19,3.617,3.602,3.155,48,0.349,inactive
e3115,0,0.437,1.434,0,0.352,3.999,3.768,3.437,187,0.66,inactive
e3116,0,0.548,0.911,0,0.274,3.939,3.842,3.306,90,0.6,inactive
e3135,4.938,0.48,1.581,0,0.285,3.941,3.791,3.425,196,1.041,inactive
e3120,0,0.514,0.597,0,0.288,3.988,3.835,3.363,122,0.589,inactive
e3122,0,0.543,1.021,0,0.2,3.813,3.578,3.177,18,0,inactive
e3123,19.81,0.483,1.978,0,0.272,4.146,4.356,3.381,364,2.808,inactive
e3124,0,0.428,1.145,0,0.202,3.565,3.421,2.991,32,0.068,inactive
e3125,0,0.471,0.914,0,0.274,3.792,3.735,2.877,90,0.376,inactive
e3127,1.042,0.459,1.055,4.961,0.326,3.907,3.872,3.373,416,0.952,inactive
e3130,17.166,0.494,1.956,2.565,0.32,4.126,4.356,3.707,470,2.948,inactive
e3131,8.314,0.472,1.555,1.386,0.27,3.672,3.634,3.523,256,0.817,inactive
e3133,7.279,0.452,1.294,4.826,0.302,3.918,3.863,3.487,667,1.216,inactive
e3136,4.827,0.463,1.719,0,0.258,3.606,3.547,3.389,110,0.432,inactive
e3137,7.471,0.461,1.733,0,0.261,3.666,3.574,3.471,186,0.444,inactive
e3138,0,0.502,0.521,0,0.322,4.007,3.843,3.364,162,0.68,inactive
e3139,7.513,0.524,1.313,0,0.226,3.796,3.666,3.541,120,1.064,inactive
e3140,0,0.472,1.596,0,0.267,3.624,3.601,2.972,29,0,inactive
e3141,11.811,0.438,1.967,2.079,0.237,3.578,3.455,3.473,680,0.891,inactive
e3142,0,0.762,0.577,0,0.167,6.88,3.433,3.7,10,0,inactive
e3144,0,0.444,1.297,0,0.202,3.584,3.527,2.999,32,0.143,inactive
e3145,0,0.519,1.051,0,0.305,3.927,3.519,3.122,46,0.224,inactive
e3146,6.238,0.485,1.298,2.079,0.299,3.833,3.824,3.474,259,1.459,inactive
e3148,0,0.452,1.614,0,0.19,3.587,3.478,3.221,48,0.245,inactive
e3149,35.426,0.47,1.008,4.234,0.399,3.987,3.742,3.905,1751,3.374,inactive
e3150,0.389,0.452,0.799,0,0.308,3.846,3.814,3.11,162,0.513,inactive
e3151,0,0.481,0.998,0,0.333,3.871,3.877,3.131,166,0.719,inactive
e3154,0,0.612,0.57,0,0.295,4.362,3.608,4.114,111,1.446,inactive
e3155,4.579,0.472,1.136,4.141,0.325,3.923,3.882,3.429,471,1.209,inactive
e3156,13.74,0.516,1.366,1.609,0.234,3.798,3.708,3.622,364,1.771,inactive
e3157,30.473,0.458,1.488,4.007,0.326,3.791,3.724,3.614,1429,1.457,inactive
e3159,0,0.452,1.547,0,0.305,3.633,3.601,3.052,46,0.175,inactive
e3161,0,0.438,0.737,0,0.324,4.08,3.887,3.572,457,1.015,inactive
e3165,3.544,0.5,1.05,4.419,0.369,4.02,4.045,3.511,516,3.647,inactive
e3166,0,0.778,0.46,0,0.322,6.931,3.911,6.877,162,1.764,inactive
e3168,0,0.458,0.788,5.328,0.342,3.922,3.868,3.33,426,0.945,inactive
e3169,19.281,0.462,1.36,5.564,0.261,3.914,3.861,3.724,1233,2.026,antagonist
e3170,0,0.475,1.285,0,0.319,3.746,3.752,3.04,124,1.188,inactive
e3173,0.769,0.444,1.131,0,0.329,3.887,3.77,3.164,147,0.543,inactive
e3175,4.713,0.508,0.639,0,0.32,4.023,3.883,3.815,314,0.984,inactive
e3176,19.866,0.511,1.959,0,0.305,4.136,4.359,3.376,320,3.631,inactive
e3182,3.863,0.433,0.798,4.239,0.333,3.939,3.899,3.407,552,1.041,inactive
e3183,0,0.417,2.349,0,0.281,3.478,3.164,2.912,31,0.083,inactive
e3186,14.479,0.458,1.453,2.303,0.225,3.678,3.704,3.578,654,1.613,inactive
e3187,10.382,0.452,1.862,1.946,0.228,3.595,3.542,3.505,444,0.813,inactive
e2626,6.472,0.482,1.572,1.802,0.326,3.972,3.826,3.428,251,1.231,inactive
e3191,0,0.488,0.84,0,0.301,3.839,3.844,3.143,124,0.513,inactive
e3192,13.85,0.474,1.643,1.609,0.259,3.738,3.706,3.616,328,1.36,inactive
e3193,1.169,0.445,1.11,3.446,0.337,3.95,3.843,3.443,270,0.781,inactive
e3194,3.524,0.5,1.15,0,0.263,3.848,3.873,3.44,210,1.085,inactive
e3195,6.542,0.467,1.397,0,0.308,3.825,3.713,3.356,260,0.904,inactive
e3196,1.559,0.452,1.805,0,0.209,3.551,3.462,3.25,52,0.246,inactive
e3197,2.887,0.454,1.584,0,0.212,3.589,3.549,3.321,79,0.388,inactive
e3198,0,0.458,0.914,0,0.288,3.811,3.755,3.018,122,0.44,inactive
e3199,3.812,0.485,1.118,0,0.322,3.884,3.9,3.377,258,1.008,inactive
e3201,16.458,0.6,0.582,5.901,0.306,6.882,3.891,6.879,692,1.67,inactive
e3204,5.787,0.5,1.4,0,0.246,3.694,3.733,3.483,146,0.753,inactive
e3205,4.666,0.476,0.931,6.711,0.34,3.96,3.898,3.686,1015,1.475,inactive
e3206,0,0.456,1.89,0,0.202,3.525,3.473,3.007,32,0.263,inactive
e3207,0,0.508,0.809,0,0.31,4.213,3.829,3.281,106,0.936,inactive
e3208,2.038,0.452,0.863,0,0.328,3.965,3.879,3.476,262,0.812,inactive
e3209,16.897,0.481,1.45,2.89,0.262,3.711,3.722,3.513,868,1.964,inactive
e3211,2.179,0.486,1.732,0,0.219,3.553,3.542,3.279,56,0.479,inactive
e3212,1.623,0.486,1.568,0,0.209,3.599,3.595,3.25,52,0.338,inactive
e3215,0,0.478,0.887,0,0.332,4.039,3.961,3.266,248,0.88,inactive
e3217,0,0.512,1.002,0,0.319,3.997,3.517,3.434,124,0.796,inactive
e3218,0,0.433,1.76,0,0.301,3.668,3.524,3.029,124,0.635,inactive
e3219,0,0.607,0.558,3.956,0.328,6.885,4.048,4.221,313,2.249,inactive
e3220,0,0.46,1.562,0,0.2,3.512,3.48,2.793,18,0,inactive
e3223,0,0.506,1.2,0,0.307,3.86,3.69,3.469,63,0.601,inactive
e3225,0,0.421,1.657,0,0.328,3.616,3.397,3.079,67,0.254,inactive
e3227,12.059,0.488,1.383,3.045,0.231,3.736,3.764,3.575,397,1.212,inactive
e3228,0,0.41,1.249,0,0.19,3.581,3.274,3.128,48,0.121,inactive
e3230,13.935,0.471,1,5.128,0.346,4.144,3.9,3.824,2382,4.577,inactive
e3231,3.532,0.457,1.351,0,0.323,4.724,4.053,3.878,459,1.725,inactive
e3232,10.347,0.485,1.26,3.056,0.319,3.881,3.872,3.469,386,1.45,inactive
e3234,1.138,0.444,1.131,0,0.312,3.89,3.77,3.211,142,0.549,inactive
e3235,14.196,0.479,1.327,3.584,0.386,3.984,3.994,3.604,732,3.538,inactive
e3236,0,0.455,1.144,3.497,0.359,3.893,3.842,3.332,389,1.586,inactive
e3238,0,0.476,0.853,0,0.274,3.806,3.806,2.831,90,0.428,inactive
e3239,1.163,0.458,0.975,4.961,0.354,3.972,3.924,3.379,470,1.199,inactive
e3241,8.956,0.473,1.118,7.095,0.331,4.724,4.116,3.987,948,2.027,antagonist
e3242,0,0.472,1.45,0,0.202,3.601,3.62,2.95,32,0.183,inactive
e3244,17.425,0.45,1.666,2.773,0.284,3.678,3.583,3.639,1206,0.955,inactive
e3245,7.643,0.531,0.64,5.991,0.342,4.097,3.966,3.863,607,1.834,inactive
e3246,14.774,0.543,0.577,6.326,0.315,4.12,3.968,3.946,694,2.105,inactive
