Id,Centred Broto-Moreau autocorrelation of lag 7 weighted by mass,CATS2D Lipophilic-Lipophilic at lag 03,CATS2D Lipophilic-Lipophilic at lag 06,Frequency of C - C at topological distance 3,Information Content index (neighborhood symmetry of 2-order),mean information content on the distance degree equality,Balaban-like index from distance/detour matrix,Balaban-like index from Barysz matrix weighted by mass,path/walk 5 - Randic shape index,ring perimeter,AgonistClass
e1148,4.609,6,0,10,3.708,3.027,9.9355,2.879,0.08,6,inactive
e1149,23.55,16,10,26,3.59,3.306,11.8362,2.4763,0.088,12,inactive
e1150,13.858,2,1,16,3.772,3.537,12.3758,2.691,0.068,6,inactive
e1151,25.767,4,9,19,4.461,4.096,13.2988,1.941,0.103,15,inactive
e1152,5.466,3,0,14,4.364,3.382,14.9085,2.3515,0.121,15,inactive
e1153,9.323,8,2,12,4.08,3.031,12.3808,2.7495,0.083,9,inactive
e1154,13.141,6,4,13,4.379,3.584,11.5382,2.6132,0.082,11,inactive
e1155,29.541,3,4,24,4.774,4.696,14.31,1.6767,0.1,22,inactive
e1156,34.142,7,11,33,4.69,4.703,12.0714,1.3324,0.1,30,inactive
e1157,58.549,7,8,20,4.947,4.672,12.5429,2.1327,0.092,17,inactive
e4100,9.693,8,0,9,3.383,2.873,10.1748,3.798,0.06,6,inactive
e1159,18.015,0,2,14,5.037,4.513,12.2563,1.8348,0.096,18,inactive
e1160,23.039,10,8,25,4,4.061,17.9556,2.1364,0.118,20,inactive
e1161,0,0,0,2,3.221,1.75,7,3.8263,0,0,inactive
e1162,1.844,1,0,5,3.684,3.278,9.8364,3.366,0.067,6,inactive
e1163,12.228,6,3,13,3.929,3.328,11.8391,2.8983,0.074,6,inactive
e1164,34.495,5,1,19,4.653,4.478,12.1236,1.7969,0.079,18,inactive
e1165,23.542,7,2,11,3.782,3.747,11.8232,2.5513,0.095,12,inactive
e1166,8.13,6,8,17,3.4,3.932,13.2765,2.1744,0.101,16,inactive
e1167,1.808,0,0,4,3.572,2.646,8.7761,3.1185,0.07,6,inactive
e1168,13.426,8,5,17,3.992,3.5,11.8494,2.5947,0.1,12,inactive
e1169,26.037,6,9,20,4.059,3.749,13.2776,2.225,0.097,12,inactive
e1170,28.402,4,6,21,4.614,4.35,14.5252,2.0562,0.091,10,inactive
e1172,5.603,3,0,7,3.534,2.815,9.7368,2.7256,0.078,6,inactive
e1173,3.783,15,0,18,3.064,2.449,12.4932,1.9227,0.115,6,inactive
e1174,9.479,8,1,15,3.716,3.146,11.9984,2.6532,0.098,12,inactive
e1175,12.176,0,2,7,4.123,3.379,10.8612,2.8593,0.1,5,inactive
e1176,43.223,2,2,25,4.838,4.802,14.7686,2.1566,0.111,21,inactive
e1177,12.144,5,2,9,3.53,3.382,11.8053,2.3344,0.094,15,inactive
e1178,23.657,28,20,32,3.574,3.252,14.455,2.8547,0.112,12,inactive
e1179,27.543,14,12,17,2.79,4.002,23,3.1524,0.062,0,inactive
e914,16.207,2,4,11,4.241,3.419,12.1031,3.0503,0.074,6,inactive
e1181,22.252,1,0,17,4.516,4.282,14.3268,1.9032,0.113,21,inactive
e1182,40.773,4,1,27,4.383,4.802,11.7204,1.3241,0.095,23,inactive
e1183,20.427,0,0,8,4.693,4.176,13.8072,2.0878,0.077,9,inactive
e1184,9.09,0,0,3,3.854,2.656,10.3834,4.8958,0.048,5,inactive
e1185,18.409,4,1,18,4.647,4.002,12.8624,1.9233,0.103,14,inactive
e1186,20.38,6,1,13,3.733,3.078,12.6249,3.3067,0.084,6,inactive
e1187,13.501,0,0,15,3.601,3.625,14.0961,2.1525,0.112,16,inactive
e1188,40.044,4,8,37,4.57,4.625,15.3558,1.2857,0.115,29,inactive
e1189,28.383,12,7,34,4.055,4.438,15.9605,1.6772,0.113,26,inactive
e1190,25.422,1,0,20,4.565,4.004,16.5032,2.5291,0.113,16,inactive
e1191,97.281,2,14,31,4.125,5.022,47,6.0282,0.082,0,inactive
e1192,7.804,4,0,9,3.514,2.689,9.4841,2.5823,0.083,6,inactive
e1193,6.66,0,0,9,3.873,3.522,11.5839,2.7518,0.106,7,inactive
e1194,24.189,10,3,39,4.726,4.35,23.9101,1.9591,0.148,15,inactive
e1195,10.401,1,0,11,3.719,3.25,15.1124,2.8177,0.11,10,inactive
e1196,12.783,2,0,10,4.256,3.682,11.7663,2.2418,0.08,12,inactive
e1197,16.682,3,2,9,4.28,3.823,11.2896,2.5113,0.076,11,inactive
e1198,20.599,17,12,22,4.093,3.345,11.2927,2.1393,0.089,12,inactive
e1199,19.606,23,10,29,4.081,3.795,13.3216,1.929,0.092,16,inactive
e1200,25.462,8,5,14,3.634,4.168,14.3276,2.0847,0.066,5,inactive
e1201,9.619,6,10,22,3.25,2.722,21.8639,1.9695,0.122,18,inactive
e1202,22.627,5,2,20,4.8,4.236,13.4789,1.9208,0.107,14,inactive
e1203,5.969,2,2,7,3.789,3.393,10.4108,3.0939,0.073,6,inactive
e1204,24.282,8,8,20,3.981,3.916,12.6689,2.2251,0.091,11,inactive
e1205,11.192,5,6,9,3.585,3.392,10.592,2.7983,0.083,12,inactive
e1207,3.434,3,0,16,3.278,3,19.0692,2.5137,0.122,14,inactive
e1208,11.178,2,4,8,4.617,3.882,11.406,2.654,0.075,11,inactive
e1209,25.042,10,8,23,3.512,3.447,11.9752,2.4773,0.086,12,inactive
e1210,22.049,10,1,16,4.105,3.882,11.5654,2.4419,0.079,12,inactive
e1211,19.406,9,0,24,4.104,3.916,13.9279,2.2352,0.08,10,inactive
e1212,27.46,11,1,26,3.888,4.208,11.3122,1.4527,0.088,18,inactive
e1213,40.06,11,9,24,4.996,4.539,15.6319,1.9729,0.08,11,inactive
e1214,33.534,9,5,23,3.982,4.263,18.3677,2.1249,0.119,21,inactive
e1215,26.711,11,5,28,4.068,4.176,18.2619,1.9647,0.117,21,inactive
e1216,11.077,6,1,14,3.911,3.578,11.0808,2.6348,0.103,11,inactive
e1217,24.745,3,7,26,3.629,4.096,20.1218,2.3201,0.116,15,inactive
e1218,29.205,10,9,35,4.357,4.45,13.9948,1.774,0.107,21,inactive
e1219,12.396,6,0,7,3.534,2.875,11.8174,2.9158,0.103,12,inactive
e1220,15.466,12,10,24,4.171,4.239,13.437,1.9197,0.093,16,inactive
e1221,5.752,2,0,8,3.514,3.418,13.2836,2.6344,0.102,9,inactive
e1222,36.361,12,7,18,3.862,3.622,11.7495,2.4497,0.09,12,inactive
e1223,12.45,1,0,5,3.879,2.822,11.4853,4.5101,0.061,6,inactive
e1224,49.813,11,11,22,4.197,4.005,14.1379,2.3291,0.111,15,inactive
e1225,6.15,6,1,10,3.639,2.855,9.3254,2.5571,0.073,6,inactive
e1226,16.586,1,1,9,4.152,2.608,15.4316,3.9187,0.111,10,inactive
e1227,27.043,10,15,29,4.359,4.162,14.064,2.0244,0.095,15,inactive
e1228,20.885,11,10,23,3.858,3.894,13.0556,2.2347,0.107,18,inactive
e1229,11.644,1,0,14,3.702,3.5,11.7336,2.7684,0.067,6,inactive
e1230,21.231,12,13,16,4.022,3.616,18,3.9943,0.051,0,inactive
e1231,15.919,7,0,19,3.885,3.406,12.3388,2.093,0.088,13,inactive
e1232,10.15,6,8,18,3.226,3.059,11.4827,2.2898,0.079,12,inactive
e1233,28.007,7,5,28,4.423,4.056,18.3907,1.9921,0.118,14,inactive
e1234,9.041,8,0,9,3.412,2.855,9.575,2.8217,0.075,6,inactive
e1235,11.975,2,3,10,4.124,3.14,10.6064,2.4461,0.075,6,inactive
e1236,20.853,10,10,16,3.68,3.725,10.7496,1.9603,0.083,12,inactive
e1237,7.732,6,1,12,3.388,2.459,9.3598,2.6104,0.072,6,inactive
e1238,13.39,2,0,12,3.491,2.625,10.0419,1.8063,0.086,12,inactive
e1239,39.59,8,4,27,4.447,3.748,16.6421,2.9195,0.123,12,inactive
e1240,14.748,2,4,9,3.703,3.382,11.7916,4.2451,0.062,6,inactive
e1241,12.644,6,0,14,3.905,3.146,10.6502,2.1451,0.078,11,inactive
e1242,13.015,9,6,22,3.542,4.096,12.2427,2.2744,0.094,12,inactive
e1243,8.242,3,0,3,3.334,2.79,11.8778,5.5453,0.071,6,inactive
e1244,5.324,2,0,3,3.573,3.096,10,4.4588,0.039,0,inactive
e1245,7.432,5,2,11,4.014,3.507,8.5201,2.0335,0.071,9,inactive
e1246,33.665,7,4,8,3.758,3.499,10.336,2.5822,0.089,11,inactive
e1247,5.745,4,1,10,3.894,1.842,10.4197,2.828,0.08,6,inactive
e1248,7.551,11,3,13,3.657,1.842,10.4197,2.6678,0.08,6,inactive
e1249,17.109,7,2,19,3.903,3.725,11.5125,2.6678,0.102,11,inactive
e1250,8.919,0,0,8,3.948,3.203,10.0496,2.0079,0.083,12,inactive
e1251,9.907,16,8,20,3.498,2.822,10.7138,2.1513,0.085,12,inactive
e1252,30.109,4,0,18,4.623,4.444,13.9278,1.8714,0.09,15,inactive
e1253,10.745,4,0,7,3.914,3.379,10.7365,2.9869,0.077,6,inactive
e1254,9.746,0,3,3,3.597,3.027,12,3.7843,0.036,0,inactive
e1255,9.589,4,1,7,4.06,3.236,10.3811,2.6639,0.071,6,inactive
e1256,0.887,1,0,7,2.948,2.585,14.6732,3.4293,0.103,10,inactive
e1257,8.882,1,0,9,4.093,3.64,13.1906,2.2396,0.096,10,inactive
e1258,17.298,11,10,22,3.061,3.382,10.5921,2.0263,0.108,17,inactive
e1259,20.532,6,9,19,3.122,3.382,10.5921,2.0672,0.108,17,inactive
e1260,82.775,36,27,46,2.494,5.166,56,4.5492,0.065,0,inactive
e1261,16.814,14,11,15,3.729,3.422,19,3.3298,0.054,0,inactive
e1262,4.056,0,0,3,3.88,3.096,10,3.7776,0.043,0,inactive
e1263,34.388,18,10,34,4.025,4.106,11.511,1.5838,0.11,24,inactive
e1264,28.169,6,8,26,4.139,4.106,18.5062,2.2709,0.1,14,inactive
e1265,32.464,6,8,30,4.155,4.285,16.8095,1.7197,0.107,20,inactive
e1266,28.894,6,15,23,3.908,3.789,16.9384,1.9056,0.117,20,inactive
e1267,13.888,2,2,8,4.429,3.684,12.9664,2.6949,0.095,9,inactive
e1268,11.477,2,0,7,4.156,3.787,11.7334,3.296,0.092,12,inactive
e1269,30.487,6,8,28,4.096,4.254,16.9407,1.8214,0.108,20,inactive
e1270,21.257,11,7,25,3.963,4.054,13.218,2.0597,0.078,12,inactive
e1271,18.081,2,0,14,4.048,3.822,13.0153,2.3828,0.082,9,inactive
e1272,29.368,7,8,24,4.055,3.97,17.6599,2.2193,0.11,14,inactive
e1273,8.884,2,4,15,2.558,3.039,10.4445,2.1779,0.096,12,inactive
e1274,18.894,5,2,20,3.943,3.916,11.4564,1.4825,0.086,15,inactive
e1275,17.03,4,8,16,3.242,3.005,11.1337,3.5948,0.105,12,inactive
e1276,16.651,0,2,11,4.108,4.011,10.955,1.9674,0.083,12,inactive
e1277,5.196,2,0,5,3.551,3.379,10.2583,2.4531,0.088,12,inactive
e1278,12.173,3,6,14,3.738,3.102,10.6385,1.8441,0.1,12,inactive
e1279,10.113,7,1,17,4.309,2.79,17.421,2.0632,0.122,13,inactive
e1280,12.81,2,5,11,3.228,3.182,10.4874,1.8881,0.09,12,inactive
e1281,30.031,0,0,17,3.643,3.722,12.3295,2.5811,0.106,12,inactive
e1282,0.275,0,0,3,2.922,2.322,12.0664,2.3432,0.08,8,inactive
e1283,16.055,4,4,16,3.547,3.187,11.5363,2.1142,0.09,12,inactive
e1284,15.937,4,0,14,4.093,4.248,11.9841,2.4112,0.094,12,inactive
e1285,2.488,0,0,4,3.808,2.845,9.7236,3.5887,0.078,6,inactive
e1286,14.84,4,3,21,4.587,4.35,14.0987,2.3007,0.097,15,inactive
e1287,20.28,7,0,24,3.713,3.804,11.5595,1.5062,0.099,21,inactive
e1288,38.024,5,0,22,4.796,4.418,13.1785,1.712,0.103,18,inactive
e1289,9.55,8,2,12,4.307,3.932,13.1364,1.981,0.1,15,inactive
e1290,6.282,11,8,20,3.347,3.17,13.741,2.1285,0.112,15,inactive
e1291,46.635,45,28,52,4.02,4.72,20.7666,1.5991,0.109,17,inactive
e1292,38.697,6,3,33,3.996,4.28,16.4881,2.4288,0.127,16,inactive
e1293,13.816,0,0,6,4.507,3.572,12.9277,2.5178,0.077,9,inactive
e1294,15.29,2,2,6,4.349,3.577,15.9916,3.8767,0.097,10,inactive
e1295,17.095,4,4,14,4.229,3.88,11.6222,2.4403,0.076,11,inactive
e1296,24.285,8,4,19,4.069,3.718,11.4682,1.9974,0.097,18,inactive
e1297,31.111,38,15,44,3.428,4.263,21.2385,1.6146,0.111,17,inactive
e1298,10.927,8,6,13,3.397,2.725,10.402,2.0784,0.082,12,inactive
e1299,24.298,6,0,12,4.366,4.137,15.3918,3.1446,0.1,10,inactive
e1300,19.594,9,9,22,3.985,4.002,10.4994,1.4891,0.086,18,inactive
e1301,22.668,21,24,33,3.076,3.47,13.2204,1.8055,0.116,21,inactive
e1302,16.569,0,6,10,3.47,3.422,13.2106,3.8139,0.101,12,inactive
e1303,4.718,1,1,8,4.211,4.393,13.6465,2.5635,0.091,11,inactive
e1304,18.654,4,0,20,3.721,3.347,12.5709,1.7963,0.083,12,inactive
e1305,22.163,6,0,18,4.441,4.244,12.2179,1.7813,0.076,12,inactive
e1306,11.354,3,0,15,3.898,3.078,15.1069,2.9529,0.113,10,inactive
e1307,15.768,0,0,2,3.746,3.022,11,4.8485,0.05,0,inactive
e1308,8.876,13,6,16,3.264,3.337,10.473,2.1662,0.088,12,inactive
e1309,51.001,3,4,11,3.844,3.522,15.1292,3.3808,0.108,10,inactive
e1310,19.718,8,6,20,3.404,3.827,15.9462,2.9883,0.122,10,inactive
e1311,11.664,6,8,14,2.818,2.625,10.0419,2.0233,0.086,12,inactive
e1312,12.386,0,0,10,3.701,3.059,10.8399,1.8754,0.079,12,inactive
e1313,8.298,0,1,9,3.854,3.507,11.3771,3.082,0.102,6,inactive
e1314,17.119,8,6,11,2.827,3.146,16,2.9511,0.056,0,inactive
e1315,8.002,0,0,3,2.845,2.585,11,6.4791,0.052,0,inactive
e1316,12.128,26,14,26,2.858,2.676,10.7984,2.4126,0.088,12,inactive
e1317,0,7,0,9,3.622,2.187,13.2594,2.8198,0.089,9,inactive
e1318,9.284,13,8,20,3.347,3.17,13.741,2.1554,0.112,15,inactive
e1319,10.146,2,3,8,3.851,3.64,10.4188,2.396,0.071,6,inactive
e1320,18.95,2,2,8,3.884,3.837,9.9734,2.6665,0.074,3,inactive
e1321,9.922,4,4,9,2.97,2.918,11,3.3714,0.04,0,inactive
e1322,31.248,12,8,31,4.403,4.278,24.6459,2.0812,0.126,19,inactive
e1323,20.076,13,11,25,4.086,3.789,14.8902,2.3553,0.115,16,inactive
e1324,26.874,0,0,3,3.094,2.074,10.6862,3.0687,0.059,6,inactive
e1325,20.425,6,6,22,3.504,3.499,16.1685,1.897,0.106,19,inactive
e1326,20.366,12,12,17,3.893,2.84,10.614,2.004,0.078,16,inactive
e1327,6.239,10,5,14,3.108,2.236,9.7827,2.1721,0.084,12,inactive
e1328,6.545,2,0,9,3.543,1.842,10.4197,2.998,0.08,6,inactive
e1329,23.04,6,5,14,3.472,4.011,11.3719,1.8762,0.098,18,inactive
e1330,26.428,10,14,25,3.863,3.554,11.4398,2.0658,0.1,18,inactive
e1331,12.551,7,3,14,4.136,3.725,9.1806,1.6339,0.085,14,inactive
e1332,0,0,0,4,3.366,2.75,7.8582,2.6606,0.04,5,inactive
e1333,0,0,0,2,3.75,2.725,7.9975,2.7079,0.066,5,inactive
e1334,3.859,0,0,4,3.772,3.547,11.3576,3.1273,0.083,6,inactive
e1335,31.097,0,1,15,4.663,4.085,11.0619,1.8851,0.083,15,inactive
e1336,33.744,2,0,11,4.714,4.21,13.2244,2.5885,0.067,11,inactive
e1337,41.748,24,23,33,3.737,4.487,15.482,1.7038,0.081,10,inactive
e1338,19.704,10,6,18,4.187,4.202,13.076,2.5609,0.081,6,inactive
e1339,15.185,1,2,12,4.343,3.735,12.7298,3.386,0.096,6,inactive
e1340,167.901,5,4,11,4.253,3.69,13.0291,3.4938,0.08,6,inactive
e1341,47.432,1,3,31,4.719,5.24,16.8001,1.6853,0.1,28,inactive
e1342,23.644,2,0,5,3.672,3.406,12.6581,4.6587,0.059,6,inactive
e1343,39.132,2,6,26,4.479,4.181,20.8372,2.1288,0.109,17,inactive
e1344,28.946,10,7,23,3.908,3.922,16.3317,2.3633,0.113,17,inactive
e1345,37.942,1,2,18,4.78,4.162,14.3917,2.5678,0.099,11,inactive
e1346,13.23,1,0,14,3.753,3.735,12.9303,1.7947,0.1,16,inactive
e1347,0,1,0,4,3.128,2.236,7.8978,3.1866,0.062,6,inactive
e1348,21.273,8,1,21,4.027,3.698,13.443,2.5005,0.07,6,inactive
e1349,15.011,1,1,21,3.964,3.971,16.3877,1.8978,0.112,20,inactive
e1350,10.185,5,3,6,3.708,3.379,8.6155,2.3265,0.065,9,inactive
e1351,21.127,6,0,11,3.854,3.322,10.9731,2.5903,0.081,12,inactive
e1352,10.162,2,2,7,4.107,3.461,12.0629,3.0675,0.07,6,inactive
e1353,17.116,3,2,9,4.241,3.88,11.334,3.1132,0.078,11,inactive
e1354,14.661,1,4,14,4.028,4.107,11.5903,2.2121,0.087,12,inactive
e1355,21.948,13,0,24,4.103,3.753,10.6858,1.311,0.1,12,inactive
e1356,22.997,5,1,21,4.702,4.011,13.7355,2.2018,0.103,14,inactive
e1357,36.737,10,8,30,3.847,3.441,12.3538,2.4071,0.115,18,inactive
e1358,26.189,10,10,26,4.153,3.939,12.9072,2.0404,0.109,18,inactive
e1359,3.032,2,0,9,3.822,2.842,14.7652,3.1805,0.106,10,inactive
e1360,20.225,10,4,26,4.246,4.404,11.9479,1.3885,0.097,21,inactive
e1361,14.808,3,2,5,4.148,3.684,10.5238,3.4056,0.082,11,inactive
e1362,8.632,4,8,7,3.227,3.22,10.5479,3.1807,0.087,12,inactive
e1363,14.511,3,0,13,3.244,3.374,10.2981,1.9665,0.091,12,inactive
e1364,13.718,4,2,18,4.343,3.852,14.4063,2.9262,0.114,9,inactive
e1365,27.191,2,4,20,4.441,4.056,12.4728,1.9406,0.104,13,inactive
e1366,12.765,2,3,13,4.343,3.573,12.4214,2.2142,0.085,12,inactive
e1367,25.694,18,8,30,3.54,3.236,12.1888,2.3925,0.086,12,inactive
e1368,21.124,16,10,25,3.549,3.369,10.4377,1.9692,0.087,17,inactive
e1369,35.071,7,6,35,4.098,4.415,14.3211,1.2271,0.113,29,inactive
e1370,16.826,2,0,8,3.726,3.182,13.8827,2.9221,0.081,12,inactive
e1371,0,2,0,8,3.345,2.585,14.0134,2.144,0.109,9,inactive
e1372,7.542,2,4,7,3.825,3.393,9.9156,2.8361,0.084,6,inactive
e1373,8.667,2,6,7,3.702,2.7,10.2761,2.7969,0.08,6,inactive
e1374,9.773,9,13,18,3.76,3.584,13.0027,2.5042,0.094,12,inactive
e1375,43.305,40,30,43,4.347,4.349,15.2476,1.691,0.085,15,inactive
e1376,44.421,38,28,43,4.456,4.457,15.609,1.7117,0.083,15,inactive
e1378,18.118,16,13,17,3.518,3.55,21,3.4693,0.055,0,inactive
e1379,20.367,18,15,19,3.248,3.668,23,3.5225,0.056,0,inactive
e1380,90.355,12,22,60,4.1,4.931,15.9881,1.688,0.114,28,inactive
e1381,15.947,4,0,16,4.315,4.059,13.5794,2.6597,0.102,9,inactive
e1382,31.749,11,5,19,4.059,3.432,11.0566,2.3667,0.099,12,inactive
e1383,28.482,2,5,9,4.282,3.499,11.0915,2.7624,0.104,11,inactive
e1384,31.858,19,8,35,4.155,4.015,16.5608,1.6802,0.103,20,inactive
e1385,24.128,20,10,36,4.481,4.202,20.7595,1.886,0.139,16,inactive
e1387,32.126,9,12,37,4.668,4.404,21.8289,1.655,0.136,18,inactive
e1388,18.368,4,3,18,4.315,3.614,17.8047,1.9555,0.119,14,inactive
e1389,38.105,15,11,23,4.272,4.162,17.2316,2.4509,0.073,5,inactive
e1390,28.2,38,15,44,4.362,4.263,21.2385,1.6713,0.111,17,inactive
e1391,24.42,22,17,29,3.851,4.085,15.7351,3.0175,0.073,6,inactive
e1392,9.01,5,0,13,4.271,3.795,10.9073,1.9504,0.08,16,inactive
e1393,141.303,10,14,66,5.099,5.263,23.6954,1.6476,0.167,20,inactive
e1394,15.849,2,6,11,3.835,3.455,12.2885,3.0278,0.077,6,inactive
e1395,34.282,7,0,24,4.369,4.352,12.9107,1.9324,0.091,15,inactive
e1396,30.204,10,2,31,4.721,4.404,18.0541,1.7961,0.102,15,inactive
e1397,8.896,2,1,11,4.03,3.039,13.5868,2.3422,0.093,10,inactive
e1398,79.316,16,12,53,5.272,5.225,17.7067,1.2007,0.126,33,inactive
e1399,40.549,10,0,28,4.5,4.404,18.883,1.9841,0.106,15,inactive
e2520,0,0,0,0,2.945,1.686,10,11.625,0,0,inactive
e1401,43.075,9,8,28,4.196,4.085,11.2846,1.5762,0.095,22,inactive
e1403,6.714,0,0,5,3.306,2.845,10,4.3031,0.029,0,inactive
e1404,6.793,0,0,4,3.072,2.246,9,3.8733,0.034,0,inactive
e1405,71.913,8,12,38,4.028,3.948,15.6216,2.0483,0.08,12,inactive
e1406,55.278,7,0,17,3.196,3.184,14.7076,2.6224,0.102,9,inactive
e1407,111.018,28,25,68,4.208,4.967,19.753,1.3703,0.124,29,inactive
e1408,18.868,5,2,13,2.52,2.642,17,3.2229,0.044,0,inactive
e1409,12.943,1,0,9,2.492,2.128,13,3.4043,0.038,0,inactive
e1410,12.717,1,0,11,3.449,3.203,11.8713,3.3074,0.072,6,inactive
e1411,26.311,13,7,46,4.916,4.164,29.5223,1.6366,0.156,19,inactive
e1412,83.736,13,29,63,4.862,5.056,29.332,1.5383,0.122,30,inactive
e1413,47.196,0,0,48,3.056,3.711,23.5299,3.5429,0.051,6,inactive
e1414,20.877,0,0,4,4.538,3.922,12.4412,2.9127,0.07,5,inactive
e1415,20.404,1,0,11,4.378,4.122,14.6901,2.268,0.091,9,inactive
e1416,27.741,0,0,7,4.799,4.543,14.0736,2.576,0.078,14,inactive
e1417,19.617,0,0,7,4.757,4.143,13.4902,2.2862,0.094,14,inactive
e1418,3.29,0,0,2,3.922,2.722,9,3.6497,0.047,0,inactive
e1419,1.021,0,0,3,3.482,2.725,8,3.6359,0.043,0,inactive
e1420,4.766,0,0,0,3.827,2.664,10,5.2739,0.046,0,inactive
e1421,7.505,2,0,8,4.027,3.393,10.4408,3.0908,0.072,6,inactive
e1422,8.342,4,4,19,3.774,3.322,15.0242,1.8357,0.113,18,inactive
e1423,38.549,8,4,22,4.932,4.522,14.5052,2.2933,0.095,9,inactive
e1424,1.418,0,0,8,3.634,3.418,13.6386,2.2976,0.097,9,inactive
e1425,38.344,8,13,32,4.432,4.729,16.4581,2.0239,0.072,12,inactive
e1426,30.649,11,8,18,4.211,4.379,27,3.8395,0.054,0,inactive
e1427,96.517,18,20,53,5.304,5.324,34.9096,1.9967,0.104,25,inactive
e1428,41.469,10,11,30,4.733,4.802,12.6188,1.686,0.089,12,inactive
e1429,5.93,2,3,8,3.431,3.085,10.1767,2.5746,0.095,11,inactive
e1432,22.818,12,11,16,2.615,3.821,20,3.1363,0.053,0,inactive
e1433,7.012,0,0,3,4.002,3.096,10,3.8921,0.043,0,inactive
e1434,29.262,4,5,21,4.642,3.795,21.0695,2.1666,0.076,15,inactive
e1435,18.734,14,11,15,2.972,3.301,18,3.0127,0.057,0,inactive
e1436,474.498,2,2,15,4.158,3.542,13.4374,2.6524,0.082,12,inactive
e1437,4.641,2,0,11,4.089,3.182,10.6023,2.392,0.093,12,inactive
e1438,7.032,5,0,15,4.134,3.203,11.4438,2.5118,0.101,12,inactive
e1439,3.556,9,2,11,3.745,2.413,9.346,2.5732,0.066,6,inactive
e1440,20.214,10,11,19,4.203,3.969,10.7989,1.6951,0.087,17,inactive
e1441,13.211,8,2,14,3.953,3.461,9.6714,2.3142,0.064,9,inactive
e1442,28.525,6,0,14,4.536,4.263,11.621,2.177,0.096,8,inactive
e1443,18.964,0,0,1,3.53,3.027,10,4.8544,0.051,0,inactive
e1444,25.504,2,0,23,4.088,4.164,11.1481,1.6127,0.089,18,inactive
e1445,27.959,7,0,26,4.015,4.168,15.2605,2.4404,0.091,9,inactive
e1446,19.017,9,4,15,3.787,3.022,14.4948,3.0251,0.098,12,inactive
e1447,5.766,5,0,8,3.261,3.085,10.1767,2.8786,0.095,11,inactive
e1448,17.011,6,0,16,3.958,3.535,14.0704,2.9995,0.082,6,inactive
e1449,12.356,2,2,9,3.98,3.616,11.4718,3.2266,0.083,12,inactive
e1450,3.118,0,0,1,3.69,3.085,9.2014,3.7871,0.072,5,inactive
e1451,5.839,0,0,4,3.922,2.459,9.2479,2.7752,0.066,6,inactive
e1452,12.284,0,0,2,3.783,2.855,11,5.5626,0.048,0,inactive
e1453,25.028,10,0,16,3.661,3.243,12.6811,2.4647,0.08,14,inactive
e1454,18.793,4,0,8,3.946,3.722,10.3042,2.6837,0.071,11,inactive
e1455,63.992,28,36,45,4.13,5.08,16.3937,1.6068,0.087,16,inactive
e1456,26.362,2,0,11,4.634,3.88,12.292,2.4218,0.074,11,inactive
e1457,3.14,0,1,3,3.88,3.182,9.9125,3.0509,0.065,5,inactive
e1458,18.62,10,7,13,2.747,3.17,17,2.9108,0.056,0,inactive
e1459,2.694,5,0,12,3.785,2.585,14.6732,3.0772,0.103,10,inactive
e1460,0.434,0,0,2,3.507,2.482,8.7974,3.3474,0.077,5,inactive
e1461,3.357,2,0,7,3.63,2.689,9.6368,3.0078,0.072,6,inactive
e1462,3.795,8,1,14,3.377,3.239,14.9563,3.054,0.103,10,inactive
e1463,11.985,2,1,14,3.161,3.422,12.3761,2.5238,0.094,12,inactive
e1464,7.94,4,7,13,3.723,3.932,11.2436,2.3261,0.08,12,inactive
e1465,5.101,0,1,6,2.547,2.47,12,11.0229,0.025,0,inactive
e1466,16.241,4,2,13,3.932,3.722,10.5164,1.784,0.081,12,inactive
e1467,10.175,1,1,7,2.906,2.807,13,10.5169,0.032,0,inactive
e1468,0,0,0,1,3.69,1.75,7,3.9224,0,0,inactive
e1469,27.989,3,3,20,4.047,3.882,14.0745,2.8477,0.07,6,inactive
e1470,5.658,0,0,3,3.522,2.646,9,3.3285,0.043,0,inactive
e1471,29.284,14,11,17,2.901,4.244,24,3.2066,0.059,0,inactive
e1472,10.034,0,0,1,3.393,2.522,13,5.1793,0.036,0,inactive
e1473,6.174,2,2,6,3.708,3.252,9.5293,2.8541,0.08,6,inactive
e1474,6.903,0,0,2,3.902,3.096,10,3.6856,0.046,0,inactive
e4312,0,0,0,12,1.995,1.392,8,4.2268,0,0,inactive
e1476,6.777,4,1,12,3.839,3.393,10.6534,2.2904,0.095,12,inactive
e1477,8.435,1,0,8,4.104,3.774,11.1844,3.0945,0.071,6,inactive
e1478,34.554,7,9,29,4.299,4.593,16.2117,1.5079,0.116,23,inactive
e1479,16.21,4,0,14,3.884,3.827,12.1184,2.4888,0.068,6,inactive
e1480,27.855,4,4,17,4.37,3.536,12.3741,1.8931,0.082,12,inactive
e1481,16.479,1,1,12,4.653,3.471,11.8781,2.2606,0.113,12,inactive
e1482,38.154,14,16,35,5.081,5.162,13.4428,1.523,0.093,26,inactive
e1483,25.414,2,1,28,4.719,4.316,13.4339,1.7181,0.111,19,inactive
e1484,30.369,0,4,19,4.942,4.348,11.694,1.5216,0.078,17,inactive
e1485,12.844,0,0,7,4.696,3.984,13.8276,2.4033,0.106,14,inactive
e1486,47.386,6,9,26,4.701,4.958,14.9587,1.718,0.07,9,inactive
e1487,34.454,7,13,25,4.935,4.44,12.8899,2.0496,0.09,16,inactive
